Date,S&P 500
2011-02,42320.86439081919
2011-03,41223.659753349755
2011-04,40576.91720382015
2011-05,41439.944452265205
2011-06,40555.03734876563
2011-07,40265.78610395551
2011-08,37575.35130608991
2011-09,37381.75724546831
2011-10,39990.1603235396
2011-11,41633.21200066421
2011-12,43613.66694325809
2012-01,44745.96501752859
2012-02,45751.09067715938
2012-03,47561.82338972601
2012-04,47768.54768010298
2012-05,47830.54422307326
2012-06,49058.791279820485
2012-07,50976.34273834215
2012-08,50769.954015957206
2012-09,50794.09200349643
2012-10,49611.46954245345
2012-11,49923.188497043084
2012-12,49581.09084139884
2013-01,50776.18226926513
2013-02,53112.84565651367
2013-03,56495.93226057693
2013-04,56404.95117892638
2013-05,58013.90328448879
2013-06,56907.69586902921
2013-07,58921.73763140057
2013-08,57384.77049353685
2013-09,57997.664169512085
2013-10,60055.4604004452
2013-11,62018.48630599011
2013-12,62755.06883911423
2014-01,61814.26878877143
2014-02,63248.50659074737
2014-03,63891.975516451734
2014-04,64072.375776610024
2014-05,66743.9123600809
2014-06,67864.32798317734
2014-07,68320.11224711307
2014-08,72078.42424822456
2014-09,74480.46184197803
2014-10,76654.73191828698
2014-11,78970.36107304519
2014-12,80985.72459989734
2015-01,84358.85113880748
2015-02,89718.22522483997
2015-03,92241.61245204073
2015-04,89334.73889932036
2015-05,92499.07420019023
2015-06,88927.55718814641
2015-07,92623.42358364307
2015-08,85105.0324879795
2015-09,83083.17018777631
2015-10,91607.78174365048
2015-11,95678.89389257114
2015-12,91500.14524746638
2016-01,86691.48818944082
2016-02,86823.9166478165
2016-03,88661.43045471094
2016-04,88859.59173324388
2016-05,92469.38727407556
2016-06,93137.93171064544
2016-07,96470.71894829074
2016-08,96435.72538072408
2016-09,96197.50287544072
2016-10,96292.23966993592
2016-11,102772.98346399052
2016-12,105732.92946247225
2017-01,105588.36913138832
2017-02,111411.75173317094
2017-03,110554.30376512336
2017-04,109241.05490584369
2017-05,107899.10778335074
2017-06,106749.13828071475
2017-07,106011.60848491795
2017-08,105448.77436503337
2017-09,107790.99869424662
2017-10,111892.3197021286
2017-11,113263.85768078172
2017-12,113141.47802253581
2018-01,115157.05691727607
2018-02,113112.76871381092
2018-03,109274.17079358349
2018-04,111884.77486323255
2018-05,118294.37763269116
2018-06,119434.10411722481
2018-07,123048.52641814837
2018-08,127977.71669118226
2018-09,129532.58412255062
2018-10,123422.41488019099
2018-11,125475.76138741076
2018-12,113232.06232193047
2019-01,121894.73436407429
2019-02,126594.94138844802
2019-03,131126.58627366903
2019-04,136634.9182216927
2019-05,128712.85914406489
2019-06,135003.97698786316
2019-07,139748.85837543133
2019-08,138960.06952386908
2019-09,143463.04538514238
2019-10,143079.6812193961
2019-11,150587.24569753927
2019-12,151643.69850376714
2020-01,154071.61478533968
2020-02,142345.6809308949
2020-03,124994.90226077152
2020-04,142048.49365841105
2020-05,145331.15371308205
2020-06,147392.3941382433
2020-07,147152.42137096936
2020-08,156505.79064804126
2020-09,153533.2839088413
2020-10,149569.2287111807
2020-11,162026.75552916084
2020-12,164256.8915422769
2021-01,164397.67275328876
2021-02,169130.32189007784
2021-03,182489.98692227795
2021-04,186538.65370367703
2021-05,185998.52136688866
2021-06,195407.12727206352
2021-07,199919.73454327552
2021-08,206978.97780040224
2021-09,201686.65996549567
2021-10,214582.15629902683
2021-11,218371.30906845376
2021-12,228890.5388447302
2022-01,220340.27312089698
2022-02,212909.25998628308
2022-03,222751.52153665843
2022-04,214136.48852860735
2022-05,211052.38444035183
2022-06,199696.22861498772
2022-07,222139.69135107053
2022-08,217286.56986135198
2022-09,202361.74297489563
2022-10,215070.73625477334
2022-11,216965.99843019494
2022-12,198893.665016595
2023-01,208120.62923912276
2023-02,207122.2164596341
2023-03,209659.7707321638
2023-04,210864.65840177235
2023-05,217676.54301465678
2023-06,228138.7038210373
2023-07,232100.4948155872
2023-08,231649.18365070515
2023-09,226296.70583041132
2023-10,221003.6324328191
2023-11,234289.9654561823
2023-12,242282.4871139711
2024-01,251181.7521674297
2024-02,264848.00687358325
