Date,VWCE
2015-01,24285.682689210127
2015-02,25770.027218381198
2015-03,26506.3368254244
2015-04,26166.669772502253
2015-05,26727.61859125923
2015-06,25583.691383517482
2015-07,26315.476618278713
2015-08,23979.56754860657
2015-09,23130.594839373403
2015-10,25354.436534108812
2015-11,26183.952181625256
2015-12,24994.015969143227
2016-01,23404.776715302043
2016-02,23301.0730976512
2016-03,23948.840583794128
2016-04,24259.68225097297
2016-05,24829.457141803283
2016-06,24785.8697821222
2016-07,25825.836687442265
2016-08,25855.85765346053
2016-09,25937.84357318265
2016-10,26009.221149722023
2016-11,26969.211373091013
2016-12,27817.571668181678
2017-01,27994.411699853372
2017-02,29215.8939006796
2017-03,29305.960152479536
2017-04,29105.9823814812
2017-05,28964.29681398543
2017-06,28589.91792021228
2017-07,28576.797785225874
2017-08,28447.225967452552
2017-09,29038.839375358682
2017-10,30069.930752588
2017-11,30106.97650739377
2017-12,30245.305766631518
2018-01,30744.112450654102
2018-02,30043.815334413594
2018-03,29131.24817864275
2018-04,29995.280108898372
2018-05,30974.63253434222
2018-06,30889.503827926346
2018-07,31606.45905641601
2018-08,32055.14597978784
2018-09,32409.18311059223
2018-10,30661.65574204272
2018-11,30991.816950748165
2018-12,28584.420707479985
2019-01,30701.537989091157
2019-02,31698.929014369467
2019-03,32611.040225505658
2019-04,33754.649632706845
2019-05,31947.9948956862
2019-06,33322.7821864081
2019-07,34091.69931790848
2019-08,33630.751748786875
2019-09,34823.71467950436
2019-10,34938.56806975393
2019-11,36334.88865767709
2019-12,36782.291646947175
2020-01,36952.61835507236
2020-02,34188.32880783985
2020-03,29615.07958639343
2020-04,32998.89907377256
2020-05,33645.84163131931
2020-06,34505.676755035056
2020-07,34287.16069825076
2020-08,36125.76058861835
2020-09,35649.87605360225
2020-10,34787.33304904503
2020-11,38164.044567494195
2020-12,38980.70241356157
2021-01,39229.78338594282
2021-02,40187.158868453575
2021-03,42693.53941651871
2021-04,43210.69269277676
2021-05,43465.915754427624
2021-06,45156.10304336819
2021-07,45407.42181694218
2021-08,46751.939737536646
2021-09,45828.2632889803
2021-10,47834.33508310484
2021-11,47774.69319920305
2021-12,49894.80125769521
2022-01,48212.34065470652
2022-02,46795.577044965474
2022-03,48212.494899031764
2022-04,46756.98778465932
2022-05,46046.46743135385
2022-06,43494.80101338059
2022-07,47318.340502782434
2022-08,46505.18652220861
2022-09,43132.383584622294
2022-10,44919.5214305244
2022-11,46264.0114524813
2022-12,43310.784034279626
2023-01,45650.11321997915
2023-02,45221.901960071635
2023-03,45480.957402348475
2023-04,45707.703870127385
2023-05,46469.626665702934
2023-06,48269.740875195
2023-07,49312.72607264851
2023-08,48640.57098542645
2023-09,47874.55098527487
2023-10,46315.04059171086
2023-11,49112.93848456748
2023-12,50892.90219988654
2024-01,52185.84787470294
2024-02,54424.166989275975
